orderid,orderdate,ordertime,customerid,customername,customercity,customerphone,customeremail,tablenumber,partysize,itemordered,category,itemprice_egp,quantity,discount_egp,paymentmethod,subtotal_egp,vat_egp,servicecharge_egp,deliveryfee_egp,totalbeforetip_egp,tip_egp,total_egp,ordertype,servername,loyaltypointsearned,feedbackrating,branchid,branchcity,branchmanager
ORD000001,2025-05-23,03:05:53,CUST8758,Laila Mahmoud,Fayoum,1295493503,laila.mahmoud@example.com,41.0,2,Sahlab,Drink,35,1,0.0,Cash,35,4.9,4.2,0,44.1,0.0,44.1,Dine-in,Dina,0,2,B004,Mansoura,Mrs. Laila
ORD000002,2025-02-21,21:13:22,CUST7077,Hassan Farid,Giza,1175488223,hassan.farid@example.com,49.0,5,Falafel Sandwich,Food,25,3,0.0,Cash,75,10.5,9.0,0,94.5,37.06,131.56,Dine-in,Amr,2,3,B001,Cairo,Mr. Hassan
ORD000003,2024-12-30,09:55:22,CUST8745,Aya Sayed,Mansoura,1188061689,aya.sayed@example.com,45.0,2,Hawawshi,Food,55,1,0.0,Card,55,7.7,6.6,0,69.3,0.0,69.3,Dine-in,Amr,1,4,B003,Alexandria,Mr. Karim
ORD000004,2025-06-03,21:11:50,CUST4822,Hassan Sayed,Suez,1264723538,hassan.sayed@example.com,9.0,4,Bottled Water,Drink,8,3,0.0,Cash,24,3.36,2.88,0,30.24,35.71,65.95,Dine-in,Amr,1,4,B005,Tanta,Mr. Omar
ORD000005,2024-11-15,09:58:08,CUST5879,Mona Ali,Ismailia,1031025774,mona.ali@example.com,0.0,2,Turkish Coffee,Drink,20,1,0.0,Card,20,2.8,2.4,30,55.2,0.0,55.2,Delivery,Dina,1,3,B002,Giza,Mrs. Salma
ORD000006,2025-05-31,22:35:44,CUST5695,Nadia Gaber,Zagazig,1267601672,nadia.gaber@example.com,16.0,3,Koshari,Food,45,1,0.0,Cash,45,6.3,5.4,0,56.7,24.79,81.49,Dine-in,Salma,1,5,B005,Tanta,Mr. Omar
ORD000007,2025-07-06,22:38:31,CUST9951,Sara Mostafa,Giza,1140145757,sara.mostafa@example.com,44.0,6,Grilled Kofta,Food,85,2,25.5,Cash,170,23.8,20.4,0,188.7,5.81,194.51,Dine-in,Salma,3,4,B002,Giza,Mrs. Salma
ORD000008,2025-02-12,06:35:11,CUST1965,Dina Naguib,Alexandria,1022806896,dina.naguib@example.com,18.0,3,Basbousa (Dessert),Dessert,30,1,0.0,Mobile Wallet,30,4.2,3.6,0,37.8,36.37,74.17,Dine-in,Amr,1,3,B005,Tanta,Mr. Omar
ORD000009,2024-12-07,15:46:53,CUST2930,Omar Karim,Tanta,1136368322,omar.karim@example.com,38.0,4,Baklava (Dessert),Dessert,40,2,0.0,Cash,80,11.2,9.6,0,100.8,25.24,126.04,Dine-in,Karim,2,4,B003,Alexandria,Mr. Karim
ORD000010,2025-01-29,15:44:20,CUST7643,Youssef Fouad,Mansoura,1224614265,youssef.fouad@example.com,30.0,1,Bottled Water,Drink,8,2,0.0,Card,16,2.24,1.92,0,20.16,18.84,39.0,Dine-in,Omar,0,5,B001,Cairo,Mr. Hassan
ORD000011,2025-06-04,05:05:04,CUST2799,Fatma Hafez,Minya,1261441320,fatma.hafez@example.com,0.0,2,Baklava (Dessert),Dessert,40,1,4.0,Mobile Wallet,40,5.6,4.8,30,76.4,16.5,92.9,Delivery,Mona,1,1,B001,Cairo,Mr. Hassan
ORD000012,2025-02-16,04:37:49,CUST2760,Fatma Ali,Fayoum,1025245600,fatma.ali@example.com,26.0,4,Grilled Chicken Half,Food,75,2,0.0,Cash,150,21.0,18.0,0,189.0,0.0,189.0,Dine-in,Mona,3,2,B002,Giza,Mrs. Salma
ORD000013,2024-12-16,19:54:41,CUST5459,Khaled Sayed,Ismailia,1266272400,khaled.sayed@example.com,0.0,2,Mahshi (Stuffed Vegetables),Food,70,3,0.0,Cash,210,29.4,25.2,0,264.6,33.89,298.49,Takeaway,Omar,5,1,B001,Cairo,Mr. Hassan
ORD000014,2024-10-15,12:16:08,CUST8113,Dina Farid,Mansoura,1019920492,dina.farid@example.com,17.0,5,Grilled Kofta,Food,85,2,17.0,Card,170,23.8,20.4,0,197.2,0.0,197.2,Dine-in,Mona,3,1,B001,Cairo,Mr. Hassan
ORD000015,2025-08-13,08:52:33,CUST6104,Fatma Fouad,Cairo,1081086653,fatma.fouad@example.com,36.0,4,Basbousa (Dessert),Dessert,30,2,0.0,Mobile Wallet,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Hassan,1,1,B005,Tanta,Mr. Omar
ORD000016,2025-05-09,18:08:04,CUST1648,Laila Mahmoud,Alexandria,1036920343,laila.mahmoud@example.com,17.0,3,Iced Tea,Drink,22,2,0.0,Cash,44,6.16,5.28,0,55.44,7.1,62.54,Dine-in,Dina,1,2,B001,Cairo,Mr. Hassan
ORD000017,2025-03-02,02:39:43,CUST2005,Dina Farid,Giza,1189413716,dina.farid@example.com,7.0,2,Karkade (Hibiscus Tea),Drink,25,2,0.0,Cash,50,7.0,6.0,0,63.0,29.57,92.57,Dine-in,Mona,1,4,B001,Cairo,Mr. Hassan
ORD000018,2024-12-05,19:42:39,CUST3215,Mona Farid,Tanta,1028167545,mona.farid@example.com,20.0,5,Arabic Coffee,Drink,25,2,0.0,Cash,50,7.0,6.0,0,63.0,0.0,63.0,Dine-in,Mona,1,3,B001,Cairo,Mr. Hassan
ORD000019,2024-11-03,04:20:07,CUST3171,Salma Fathy,Tanta,1128349903,salma.fathy@example.com,0.0,2,Soft Drink (Can),Drink,18,1,0.9,Mobile Wallet,18,2.52,2.16,0,21.78,0.0,21.78,Takeaway,Laila,0,4,B003,Alexandria,Mr. Karim
ORD000020,2025-08-17,22:32:18,CUST8023,Youssef Farid,Giza,1084371081,youssef.farid@example.com,0.0,7,Molokhia with Rice,Food,60,3,0.0,Card,180,25.2,21.6,0,226.8,39.51,266.31,Takeaway,Mona,5,5,B003,Alexandria,Mr. Karim
ORD000021,2024-11-22,15:11:27,CUST5087,Omar Karim,Zagazig,1116427033,omar.karim@example.com,0.0,4,Grilled Kofta,Food,85,2,0.0,Cash,170,23.8,20.4,30,244.2,0.0,244.2,Delivery,Karim,4,4,B001,Cairo,Mr. Hassan
ORD000022,2025-02-22,18:03:42,CUST9976,Khaled Zaki,Zagazig,1132443981,khaled.zaki@example.com,0.0,1,Turkish Coffee,Drink,20,2,0.0,Cash,40,5.6,4.8,15,65.4,0.0,65.4,Delivery,Omar,1,4,B001,Cairo,Mr. Hassan
ORD000023,2025-09-15,16:44:35,CUST8643,Tamer Gaber,Fayoum,1292353546,tamer.gaber@example.com,18.0,3,Mixed Grill Plate,Food,140,1,0.0,Card,140,19.6,16.8,0,176.4,0.0,176.4,Dine-in,Salma,3,1,B001,Cairo,Mr. Hassan
ORD000024,2025-02-08,06:37:36,CUST2736,Tamer Hafez,Zagazig,1170588258,tamer.hafez@example.com,23.0,6,Umm Ali (Dessert),Dessert,35,2,0.0,Cash,70,9.8,8.4,0,88.2,0.0,88.2,Dine-in,Karim,1,4,B001,Cairo,Mr. Hassan
ORD000025,2025-03-13,20:18:38,CUST3556,Amr Mostafa,Alexandria,1258536525,amr.mostafa@example.com,26.0,2,Lentil Soup,Food,30,2,0.0,Cash,60,8.4,7.2,0,75.6,35.07,110.67,Dine-in,Omar,2,1,B002,Giza,Mrs. Salma
ORD000026,2024-09-19,20:29:50,CUST7194,Walid Hafez,Minya,1044987476,walid.hafez@example.com,3.0,4,Fresh Juice (Orange),Drink,30,1,0.0,Card,30,4.2,3.6,0,37.8,27.34,65.14,Dine-in,Amr,1,4,B005,Tanta,Mr. Omar
ORD000027,2025-05-08,16:48:47,CUST1966,Khaled Yassin,Giza,1128196649,khaled.yassin@example.com,35.0,1,Fresh Juice (Mango),Drink,40,2,0.0,Cash,80,11.2,9.6,0,100.8,35.46,136.26,Dine-in,Karim,2,2,B002,Giza,Mrs. Salma
ORD000028,2024-11-12,08:14:55,CUST3426,Fatma Ibrahim,Suez,1048105554,fatma.ibrahim@example.com,0.0,3,Fresh Juice (Mango),Drink,40,1,0.0,Cash,40,5.6,4.8,30,80.4,0.0,80.4,Delivery,Omar,1,1,B001,Cairo,Mr. Hassan
ORD000029,2025-01-01,20:48:56,CUST2511,Mohamed Naguib,Suez,1170716224,mohamed.naguib@example.com,39.0,4,Grilled Chicken Half,Food,75,3,0.0,Card,225,31.5,27.0,0,283.5,0.0,283.5,Dine-in,Dina,5,1,B003,Alexandria,Mr. Karim
ORD000030,2024-12-02,07:28:06,CUST6221,Ibrahim Fouad,Alexandria,1096319246,ibrahim.fouad@example.com,0.0,3,Koshari,Food,45,1,0.0,Card,45,6.3,5.4,20,76.7,0.0,76.7,Delivery,Hassan,1,5,B004,Mansoura,Mrs. Laila
ORD000031,2025-04-09,10:50:02,CUST4936,Ahmed Ibrahim,Suez,1019769429,ahmed.ibrahim@example.com,2.0,5,Fattah,Food,90,1,0.0,Mobile Wallet,90,12.6,10.8,0,113.4,0.0,113.4,Dine-in,Omar,2,1,B005,Tanta,Mr. Omar
ORD000032,2025-01-25,04:01:34,CUST3068,Walid Yassin,Giza,1245250543,walid.yassin@example.com,19.0,2,Basbousa (Dessert),Dessert,30,1,0.0,Cash,30,4.2,3.6,0,37.8,6.27,44.07,Dine-in,Mona,0,5,B005,Tanta,Mr. Omar
ORD000033,2025-09-12,15:07:14,CUST4658,Ahmed Mostafa,Mansoura,1176803099,ahmed.mostafa@example.com,0.0,3,Soft Drink (Can),Drink,18,1,0.0,Card,18,2.52,2.16,0,22.68,0.0,22.68,Takeaway,Mona,0,2,B001,Cairo,Mr. Hassan
ORD000034,2024-12-13,01:27:09,CUST8284,Khaled Fouad,Mansoura,1264022294,khaled.fouad@example.com,39.0,3,Rice with Vermicelli,Food,28,2,0.0,Card,56,7.84,6.72,0,70.56,0.0,70.56,Dine-in,Dina,1,5,B005,Tanta,Mr. Omar
ORD000035,2025-01-14,17:43:00,CUST1341,Salma Yassin,Tanta,1087297675,salma.yassin@example.com,0.0,4,Basbousa (Dessert),Dessert,30,1,0.0,Card,30,4.2,3.6,0,37.8,0.0,37.8,Takeaway,Dina,0,2,B005,Tanta,Mr. Omar
ORD000036,2025-05-11,21:32:22,CUST9900,Nadia Hassan,Minya,1016505659,nadia.hassan@example.com,25.0,2,Baklava (Dessert),Dessert,40,1,0.0,Card,40,5.6,4.8,0,50.4,0.0,50.4,Dine-in,Hassan,1,1,B004,Mansoura,Mrs. Laila
ORD000037,2025-01-19,12:14:02,CUST3357,Ibrahim Mostafa,Giza,1066137195,ibrahim.mostafa@example.com,0.0,3,Hawawshi,Food,55,2,0.0,Card,110,15.4,13.2,15,153.6,0.0,153.6,Delivery,Omar,3,2,B004,Mansoura,Mrs. Laila
ORD000038,2025-06-25,14:48:23,CUST7528,Rania Farid,Alexandria,1292257967,rania.farid@example.com,0.0,2,Lentil Soup,Food,30,1,0.0,Card,30,4.2,3.6,0,37.8,0.0,37.8,Takeaway,Dina,0,1,B005,Tanta,Mr. Omar
ORD000039,2025-01-05,09:18:15,CUST4017,Laila Naguib,Alexandria,1133368501,laila.naguib@example.com,14.0,2,Koshari,Food,45,2,0.0,Cash,90,12.6,10.8,0,113.4,8.87,122.27,Dine-in,Dina,2,3,B002,Giza,Mrs. Salma
ORD000040,2025-08-22,22:57:16,CUST7526,Rania Karim,Zagazig,1255370500,rania.karim@example.com,21.0,2,Bottled Water,Drink,8,3,0.0,Cash,24,3.36,2.88,0,30.24,0.0,30.24,Dine-in,Amr,0,1,B002,Giza,Mrs. Salma
